gvkey,tic,datadate,rdq,epspxq,epsfiq,fyearq,fqtr
001690,AAPL,2014-03-31,2014-04-23,11.69,11.62,2014,2
001690,AAPL,2014-06-30,2014-07-22,1.29,1.28,2014,3
001690,AAPL,2014-09-30,2014-10-20,1.43,1.42,2014,4
001690,AAPL,2014-12-31,2015-01-27,3.08,3.06,2015,1
001690,AAPL,2015-03-31,2015-04-27,2.34,2.33,2015,2
001690,AAPL,2015-06-30,2015-07-21,1.86,1.85,2015,3
001690,AAPL,2015-09-30,2015-10-27,1.97,1.96,2015,4
001690,AAPL,2015-12-31,2016-01-26,3.3,3.28,2016,1
001690,AAPL,2016-03-31,2016-04-26,1.91,1.9,2016,2
001690,AAPL,2016-06-30,2016-07-26,1.43,1.42,2016,3
001690,AAPL,2016-09-30,2016-10-25,1.68,1.67,2016,4
001690,AAPL,2016-12-31,2017-01-31,3.38,3.36,2017,1
001690,AAPL,2017-03-31,2017-05-02,2.11,2.1,2017,2
001690,AAPL,2017-06-30,2017-08-01,1.68,1.67,2017,3
001690,AAPL,2017-09-30,2017-11-02,2.08,2.07,2017,4
001690,AAPL,2017-12-31,2018-02-01,3.92,3.89,2018,1
001690,AAPL,2018-03-31,2018-05-01,2.75,2.73,2018,2
001690,AAPL,2018-06-30,2018-07-31,2.36,2.34,2018,3
001690,AAPL,2018-09-30,2018-11-01,2.94,2.91,2018,4
001690,AAPL,2018-12-31,2019-01-29,4.22,4.18,2019,1
001690,AAPL,2019-03-31,2019-04-30,2.47,2.46,2019,2
001690,AAPL,2019-06-30,2019-07-30,2.2,2.18,2019,3
001690,AAPL,2019-09-30,2019-10-30,3.05,3.03,2019,4
001690,AAPL,2019-12-31,2020-01-28,5.04,4.99,2020,1
001690,AAPL,2020-03-31,2020-04-30,2.58,2.55,2020,2
001690,AAPL,2020-06-30,2020-07-30,2.61,2.58,2020,3
001690,AAPL,2020-09-30,2020-10-29,0.74,0.73,2020,4
001690,AAPL,2020-12-31,2021-01-27,1.7,1.68,2021,1
001690,AAPL,2021-03-31,2021-04-28,1.41,1.4,2021,2
001690,AAPL,2021-06-30,2021-07-27,1.31,1.3,2021,3
001690,AAPL,2021-09-30,2021-10-28,1.25,1.24,2021,4
001690,AAPL,2021-12-31,2022-01-27,2.11,2.1,2022,1
001690,AAPL,2022-03-31,2022-04-28,1.54,1.52,2022,2
001690,AAPL,2022-06-30,2022-07-28,1.2,1.2,2022,3
001690,AAPL,2022-09-30,2022-10-27,1.29,1.29,2022,4
001690,AAPL,2022-12-31,2023-02-02,1.89,1.88,2023,1
001690,AAPL,2023-03-31,2023-05-04,1.53,1.52,2023,2
001690,AAPL,2023-06-30,2023-08-03,1.27,1.26,2023,3
001690,AAPL,2023-09-30,2023-11-02,1.47,1.46,2023,4
001690,AAPL,2023-12-31,2024-02-01,2.19,2.18,2024,1
001690,AAPL,2024-03-31,2024-05-02,1.53,1.53,2024,2
001690,AAPL,2024-06-30,2024-08-01,1.4,1.4,2024,3
001690,AAPL,2024-09-30,2024-10-31,0.97,0.97,2024,4
001690,AAPL,2024-12-31,2025-01-30,2.41,2.4,2025,1
001690,AAPL,2025-03-31,2025-05-01,1.65,1.65,2025,2
001690,AAPL,2025-06-30,2025-07-31,1.57,1.57,2025,3
001690,AAPL,2025-09-30,2025-10-30,1.85,1.85,2025,4
001690,AAPL,2025-12-31,2026-01-29,2.85,2.84,2026,1
012540,ADBE,2014-02-28,2014-03-18,0.09,0.09,2014,1
012540,ADBE,2014-05-31,2014-06-17,0.18,0.17,2014,2
012540,ADBE,2014-08-31,2014-09-16,0.09,0.09,2014,3
012540,ADBE,2014-11-30,2014-12-11,0.18,0.17,2014,4
012540,ADBE,2015-02-28,2015-03-17,0.17,0.17,2015,1
012540,ADBE,2015-05-31,2015-06-16,0.3,0.29,2015,2
012540,ADBE,2015-08-31,2015-09-17,0.35,0.34,2015,3
012540,ADBE,2015-11-30,2015-12-10,0.45,0.44,2015,4
012540,ADBE,2016-02-29,2016-03-17,0.51,0.5,2016,1
012540,ADBE,2016-05-31,2016-06-21,0.49,0.48,2016,2
012540,ADBE,2016-08-31,2016-09-20,0.54,0.54,2016,3
012540,ADBE,2016-11-30,2016-12-15,0.81,0.8,2016,4
012540,ADBE,2017-02-28,2017-03-16,0.81,0.8,2017,1
012540,ADBE,2017-05-31,2017-06-20,0.76,0.75,2017,2
012540,ADBE,2017-08-31,2017-09-19,0.85,0.84,2017,3
012540,ADBE,2017-11-30,2017-12-14,1.02,1.0,2017,4
012540,ADBE,2018-02-28,2018-03-15,1.18,1.17,2018,1
012540,ADBE,2018-05-31,2018-06-14,1.35,1.33,2018,2
012540,ADBE,2018-08-31,2018-09-13,1.36,1.34,2018,3
012540,ADBE,2018-11-30,2018-12-13,1.39,1.37,2018,4
012540,ADBE,2019-02-28,2019-03-14,1.38,1.36,2019,1
012540,ADBE,2019-05-31,2019-06-18,1.3,1.29,2019,2
012540,ADBE,2019-08-31,2019-09-17,1.63,1.61,2019,3
012540,ADBE,2019-11-30,2019-12-12,1.76,1.74,2019,4
012540,ADBE,2020-02-29,2020-03-12,1.98,1.96,2020,1
012540,ADBE,2020-05-31,2020-06-11,2.28,2.27,2020,2
012540,ADBE,2020-08-31,2020-09-15,1.99,1.97,2020,3
012540,ADBE,2020-11-30,2020-12-10,4.69,4.64,2020,4
012540,ADBE,2021-02-28,2021-03-23,2.63,2.61,2021,1
012540,ADBE,2021-05-31,2021-06-17,2.34,2.32,2021,2
012540,ADBE,2021-08-31,2021-09-21,2.54,2.52,2021,3
