regime,sim_seed,init_seed,model,metric,value
linear,2000,125,MPTE,RMSE,1.2018066577370456
linear,2000,125,MPTE,MAE,0.9509648511220756
linear,2000,125,MPTE,DA,0.6114457831325302
linear,2000,125,AR,RMSE,1.3421063669530355
linear,2000,125,AR,MAE,1.0699354515142736
linear,2000,125,AR,DA,0.0
linear,2000,125,MIDAS,RMSE,1.2907587928173525
linear,2000,125,MIDAS,MAE,1.0215416363153982
linear,2000,125,MIDAS,DA,0.5542168674698795
linear,2000,125,AB1,RMSE,1.2465045496269087
linear,2000,125,AB1,MAE,0.9922658051310326
linear,2000,125,AB1,DA,0.5933734939759037
linear,2000,125,AB2,RMSE,1.343979909470939
linear,2000,125,AB2,MAE,1.0729600237922423
linear,2000,125,AB2,DA,0.5180722891566265
linear,2000,125,AB3,RMSE,1.2007064111666783
linear,2000,125,AB3,MAE,0.9547215334776906
linear,2000,125,AB3,DA,0.6716867469879518
linear,2000,125,AB4,RMSE,1.3443642652041137
linear,2000,125,AB4,MAE,1.0733435664066686
linear,2000,125,AB4,DA,0.4879518072289157
linear,2000,125,AB5,RMSE,1.249857764260573
linear,2000,125,AB5,MAE,0.9852430770265006
linear,2000,125,AB5,DA,0.6475903614457831
linear,2001,125,MPTE,RMSE,1.1647543443040407
linear,2001,125,MPTE,MAE,0.929715815920262
linear,2001,125,MPTE,DA,0.5542168674698795
linear,2001,125,AR,RMSE,1.15856603401687
linear,2001,125,AR,MAE,0.9280162030438129
linear,2001,125,AR,DA,0.04819277108433735
linear,2001,125,MIDAS,RMSE,1.158818239310217
linear,2001,125,MIDAS,MAE,0.9339106830243189
linear,2001,125,MIDAS,DA,0.5783132530120482
linear,2001,125,AB1,RMSE,1.2060855458761564
linear,2001,125,AB1,MAE,0.9529514950315748
linear,2001,125,AB1,DA,0.5512048192771084
linear,2001,125,AB2,RMSE,1.2120234494161226
linear,2001,125,AB2,MAE,0.9571270008175425
linear,2001,125,AB2,DA,0.5240963855421686
linear,2001,125,AB3,RMSE,1.2152808891513764
linear,2001,125,AB3,MAE,0.9591868634066326
linear,2001,125,AB3,DA,0.49698795180722893
linear,2001,125,AB4,RMSE,1.1655924722352242
linear,2001,125,AB4,MAE,0.930096314146042
linear,2001,125,AB4,DA,0.5271084337349398
linear,2001,125,AB5,RMSE,1.0969055139879689
linear,2001,125,AB5,MAE,0.872990954809508
linear,2001,125,AB5,DA,0.5542168674698795
linear,2002,125,MPTE,RMSE,1.3070123962313718
linear,2002,125,MPTE,MAE,1.0380882107042653
linear,2002,125,MPTE,DA,0.46987951807228917
linear,2002,125,AR,RMSE,1.3100770277691456
linear,2002,125,AR,MAE,1.040285237253868
linear,2002,125,AR,DA,0.02710843373493976
linear,2002,125,MIDAS,RMSE,1.3163431757875974
linear,2002,125,MIDAS,MAE,1.0637203837443452
linear,2002,125,MIDAS,DA,0.5240963855421686
linear,2002,125,AB1,RMSE,1.3559363353947822
linear,2002,125,AB1,MAE,1.0729686089475785
linear,2002,125,AB1,DA,0.48493975903614456
linear,2002,125,AB2,RMSE,1.3507826860412577
linear,2002,125,AB2,MAE,1.0726739787645483
linear,2002,125,AB2,DA,0.5391566265060241
linear,2002,125,AB3,RMSE,1.3551168611043303
linear,2002,125,AB3,MAE,1.0723974698049172
linear,2002,125,AB3,DA,0.5150602409638554
linear,2002,125,AB4,RMSE,1.3195950470438031
linear,2002,125,AB4,MAE,1.0495455176659978
linear,2002,125,AB4,DA,0.5391566265060241
linear,2002,125,AB5,RMSE,1.2694622396150639
linear,2002,125,AB5,MAE,1.0039876366664133
linear,2002,125,AB5,DA,0.5210843373493976
linear,2003,125,MPTE,RMSE,1.1500919727223708
linear,2003,125,MPTE,MAE,0.9285272961397866
linear,2003,125,MPTE,DA,0.5542168674698795
linear,2003,125,AR,RMSE,1.2431105602710373
linear,2003,125,AR,MAE,0.9865721918841023
linear,2003,125,AR,DA,0.02710843373493976
linear,2003,125,MIDAS,RMSE,1.2519061483870875
linear,2003,125,MIDAS,MAE,0.9894341698404676
linear,2003,125,MIDAS,DA,0.5993975903614458
linear,2003,125,AB1,RMSE,1.2000814237999617
linear,2003,125,AB1,MAE,0.9650040049401445
linear,2003,125,AB1,DA,0.5873493975903614
linear,2003,125,AB2,RMSE,1.2432109743207014
linear,2003,125,AB2,MAE,0.9867574188361583
linear,2003,125,AB2,DA,0.6024096385542169
linear,2003,125,AB3,RMSE,1.2428873023524456
linear,2003,125,AB3,MAE,0.9863882965668661
linear,2003,125,AB3,DA,0.5963855421686747
linear,2003,125,AB4,RMSE,1.2389402420714923
linear,2003,125,AB4,MAE,0.9870052388185955
linear,2003,125,AB4,DA,0.46987951807228917
linear,2003,125,AB5,RMSE,1.1500631155215164
linear,2003,125,AB5,MAE,0.9340222871310254
linear,2003,125,AB5,DA,0.5572289156626506
linear,2004,125,MPTE,RMSE,1.0918134986790788
linear,2004,125,MPTE,MAE,0.8697417699304745
linear,2004,125,MPTE,DA,0.7259036144578314
linear,2004,125,AR,RMSE,1.3038658383850936
linear,2004,125,AR,MAE,1.0416212118548243
linear,2004,125,AR,DA,0.04216867469879518
linear,2004,125,MIDAS,RMSE,1.3396741537790176
linear,2004,125,MIDAS,MAE,1.0685719835322913
linear,2004,125,MIDAS,DA,0.5512048192771084
linear,2004,125,AB1,RMSE,1.1369001315473872
linear,2004,125,AB1,MAE,0.9041921016799122
linear,2004,125,AB1,DA,0.677710843373494
linear,2004,125,AB2,RMSE,1.3035487533032635
linear,2004,125,AB2,MAE,1.0414563405998591
linear,2004,125,AB2,DA,0.5271084337349398
linear,2004,125,AB3,RMSE,1.0968250575716256
linear,2004,125,AB3,MAE,0.8621911978532159
linear,2004,125,AB3,DA,0.7259036144578314
linear,2004,125,AB4,RMSE,1.2648583732434895
linear,2004,125,AB4,MAE,1.005045462526843
linear,2004,125,AB4,DA,0.7259036144578314
linear,2004,125,AB5,RMSE,1.0739913395538156
linear,2004,125,AB5,MAE,0.8568821296314534
linear,2004,125,AB5,DA,0.7379518072289156
linear,2005,125,MPTE,RMSE,1.1655102581456531
linear,2005,125,MPTE,MAE,0.9239302461688276
linear,2005,125,MPTE,DA,0.5963855421686747
linear,2005,125,AR,RMSE,1.3108634605440734
linear,2005,125,AR,MAE,1.029557597398806
linear,2005,125,AR,DA,0.060240963855421686
linear,2005,125,MIDAS,RMSE,1.2559569219266011
linear,2005,125,MIDAS,MAE,0.9944829270945101
linear,2005,125,MIDAS,DA,0.641566265060241
linear,2005,125,AB1,RMSE,1.179436384919104
linear,2005,125,AB1,MAE,0.9390500657918018
linear,2005,125,AB1,DA,0.6295180722891566
linear,2005,125,AB2,RMSE,1.1640115785606633
linear,2005,125,AB2,MAE,0.9290587478857335
linear,2005,125,AB2,DA,0.6475903614457831
linear,2005,125,AB3,RMSE,1.168228388054906
linear,2005,125,AB3,MAE,0.9423524690703784
linear,2005,125,AB3,DA,0.6174698795180723
linear,2005,125,AB4,RMSE,1.2889916910529424
linear,2005,125,AB4,MAE,1.0109668140538288
linear,2005,125,AB4,DA,0.5421686746987951
linear,2005,125,AB5,RMSE,1.1985211828998166
linear,2005,125,AB5,MAE,0.9564709617179032
linear,2005,125,AB5,DA,0.5903614457831325
linear,2006,125,MPTE,RMSE,1.2245923968319883
linear,2006,125,MPTE,MAE,0.9784969794998755
linear,2006,125,MPTE,DA,0.5120481927710844
linear,2006,125,AR,RMSE,1.2304679877522127
linear,2006,125,AR,MAE,0.9851170777034491
linear,2006,125,AR,DA,0.030120481927710843
linear,2006,125,MIDAS,RMSE,1.2513523983483537
linear,2006,125,MIDAS,MAE,0.9990689360623992
linear,2006,125,MIDAS,DA,0.5783132530120482
linear,2006,125,AB1,RMSE,1.224226099006787
linear,2006,125,AB1,MAE,0.9780059092136658
linear,2006,125,AB1,DA,0.49096385542168675
linear,2006,125,AB2,RMSE,1.1387743418659615
linear,2006,125,AB2,MAE,0.8903660537896396
linear,2006,125,AB2,DA,0.5753012048192772
linear,2006,125,AB3,RMSE,1.1839248579485635
linear,2006,125,AB3,MAE,0.9422844867446142
linear,2006,125,AB3,DA,0.5903614457831325
linear,2006,125,AB4,RMSE,1.184042149739645
linear,2006,125,AB4,MAE,0.9478807611691801
linear,2006,125,AB4,DA,0.5512048192771084
linear,2006,125,AB5,RMSE,1.1276282207369892
linear,2006,125,AB5,MAE,0.8900696678871085
linear,2006,125,AB5,DA,0.5662650602409639
linear,2007,125,MPTE,RMSE,1.2035990528675424
linear,2007,125,MPTE,MAE,0.9506459987655156
linear,2007,125,MPTE,DA,0.5301204819277109
linear,2007,125,AR,RMSE,1.199069716117956
linear,2007,125,AR,MAE,0.9486841708809106
linear,2007,125,AR,DA,0.030120481927710843
linear,2007,125,MIDAS,RMSE,1.2215063673578308
linear,2007,125,MIDAS,MAE,0.961020131427162
linear,2007,125,MIDAS,DA,0.5542168674698795
linear,2007,125,AB1,RMSE,1.198163992623804
linear,2007,125,AB1,MAE,0.9499654491064626
linear,2007,125,AB1,DA,0.45180722891566266
linear,2007,125,AB2,RMSE,1.1963340673679297
linear,2007,125,AB2,MAE,0.9475504539838043
linear,2007,125,AB2,DA,0.5090361445783133
linear,2007,125,AB3,RMSE,1.0992923019358487
linear,2007,125,AB3,MAE,0.8891249386877002
linear,2007,125,AB3,DA,0.5783132530120482
linear,2007,125,AB4,RMSE,1.2014790136573965
linear,2007,125,AB4,MAE,0.9494889263578636
linear,2007,125,AB4,DA,0.4759036144578313
linear,2007,125,AB5,RMSE,1.1059101623111196
linear,2007,125,AB5,MAE,0.882245481911594
linear,2007,125,AB5,DA,0.5813253012048193
linear,2008,125,MPTE,RMSE,1.127960388002775
linear,2008,125,MPTE,MAE,0.9020582631848197
linear,2008,125,MPTE,DA,0.5240963855421686
linear,2008,125,AR,RMSE,1.1405636445972502
linear,2008,125,AR,MAE,0.9152447153943386
linear,2008,125,AR,DA,0.0
linear,2008,125,MIDAS,RMSE,1.1692661334071994
linear,2008,125,MIDAS,MAE,0.9462363197408429
linear,2008,125,MIDAS,DA,0.5090361445783133
linear,2008,125,AB1,RMSE,1.0753860207093802
linear,2008,125,AB1,MAE,0.865082405989089
linear,2008,125,AB1,DA,0.6144578313253012
linear,2008,125,AB2,RMSE,1.1309668139006925
linear,2008,125,AB2,MAE,0.9066897687279855
linear,2008,125,AB2,DA,0.4759036144578313
linear,2008,125,AB3,RMSE,1.0930480419855289
linear,2008,125,AB3,MAE,0.8791940363542163
linear,2008,125,AB3,DA,0.5783132530120482
linear,2008,125,AB4,RMSE,1.129473652561628
linear,2008,125,AB4,MAE,0.9040285687925473
linear,2008,125,AB4,DA,0.4608433734939759
linear,2008,125,AB5,RMSE,1.0712560460698286
linear,2008,125,AB5,MAE,0.8532421217548096
linear,2008,125,AB5,DA,0.6355421686746988
linear,2009,125,AB1,RMSE,1.1032554902829121
linear,2009,125,AB1,MAE,0.8577376020393461
linear,2009,125,AB1,DA,0.7439759036144579
linear,2009,125,AB2,RMSE,1.090238699816113
linear,2009,125,AB2,MAE,0.8638487855555049
linear,2009,125,AB2,DA,0.7620481927710844
linear,2009,125,AB4,RMSE,1.2338587123950109
linear,2009,125,AB4,MAE,0.9886939317373009
linear,2009,125,AB4,DA,0.7259036144578314
linear,2009,125,AB5,RMSE,1.1357533869134746
linear,2009,125,AB5,MAE,0.8834473430491693
linear,2009,125,AB5,DA,0.7560240963855421
linear,2010,125,MPTE,RMSE,1.1421491052062454
linear,2010,125,MPTE,MAE,0.896382553035788
linear,2010,125,MPTE,DA,0.6054216867469879
linear,2010,125,AR,RMSE,1.2126087648272943
linear,2010,125,AR,MAE,0.9612884778037546
linear,2010,125,AR,DA,0.0
linear,2010,125,MIDAS,RMSE,1.2066956863097136
linear,2010,125,MIDAS,MAE,0.963968208893661
linear,2010,125,MIDAS,DA,0.5632530120481928
linear,2010,125,AB1,RMSE,1.2119827504325271
linear,2010,125,AB1,MAE,0.9610928366932766
linear,2010,125,AB1,DA,0.5301204819277109
linear,2010,125,AB2,RMSE,1.1939675392534859
linear,2010,125,AB2,MAE,0.9416041645131573
linear,2010,125,AB2,DA,0.5481927710843374
linear,2010,125,AB3,RMSE,1.1478497159446586
linear,2010,125,AB3,MAE,0.9121488267727234
linear,2010,125,AB3,DA,0.5903614457831325
linear,2010,125,AB4,RMSE,1.213076775502974
linear,2010,125,AB4,MAE,0.9627253733601999
linear,2010,125,AB4,DA,0.5180722891566265
linear,2010,125,AB5,RMSE,1.1509086456324062
linear,2010,125,AB5,MAE,0.9109412406311144
linear,2010,125,AB5,DA,0.6054216867469879
linear,2011,125,MPTE,RMSE,1.116274283336489
linear,2011,125,MPTE,MAE,0.892190503018623
linear,2011,125,MPTE,DA,0.4879518072289157
linear,2011,125,AR,RMSE,1.221060336068236
